Age (Ma),pCO2 probability maximum,lw95%,lw68%,up68%,up95%
212.00,1172.91,776.07,961.15,1494.12,1722.13
212.50,1223.65,782.28,951.70,1504.10,1729.93
213.00,1231.62,774.67,948.45,1519.33,1745.07
213.50,1210.86,780.26,960.29,1545.78,1767.07
214.00,1207.79,819.62,981.77,1559.19,1763.33
214.50,1324.31,835.96,1015.65,1580.21,1786.70
215.00,1339.32,846.10,1035.40,1616.22,1821.20
215.50,1361.99,851.61,1054.43,1654.02,1899.80
216.00,1381.16,860.07,1077.21,1695.16,1967.08
216.50,1406.39,862.94,1101.46,1732.44,2019.79
217.00,1439.63,878.80,1131.41,1758.11,2083.94
217.50,1450.96,926.00,1161.61,1787.77,2115.52
218.00,1501.04,964.38,1190.15,1843.29,2199.67
218.50,1531.76,989.70,1229.06,1897.75,2244.38
219.00,1552.40,1011.02,1237.77,1959.10,2272.16
219.50,1589.30,1016.16,1243.97,2023.41,2375.01
220.00,1599.29,1032.56,1278.66,2081.03,2446.30
220.50,1614.51,1026.21,1315.30,2120.76,2498.11
221.00,1660.23,1038.65,1345.94,2174.20,2540.79
221.50,1702.54,1085.65,1397.46,2225.46,2617.76
222.00,1776.13,1113.00,1430.04,2288.12,2691.29
222.50,1818.97,1140.78,1458.82,2336.76,2771.85
223.00,1854.49,1137.36,1480.50,2394.83,2834.97
223.50,1911.95,1152.19,1498.52,2428.05,2863.23
224.00,1955.25,1186.25,1525.36,2436.79,2850.08
224.50,2047.59,1192.73,1532.48,2475.28,2869.41
225.00,2131.92,1226.87,1552.95,2507.31,2909.25
225.50,2111.68,1203.71,1552.64,2541.55,2955.17
226.00,2073.20,1198.27,1542.54,2561.44,2995.16
226.50,2062.80,1187.17,1538.66,2575.35,3028.95
227.00,2059.04,1185.58,1537.01,2572.90,3016.58
227.50,2051.57,1173.59,1521.60,2515.33,2992.94
228.00,2082.91,1165.92,1500.78,2467.63,2976.67
228.50,2023.94,1159.33,1459.57,2414.34,2919.56
229.00,1989.51,1127.32,1414.98,2383.15,2839.76
229.50,1975.23,1075.88,1372.49,2340.36,2823.87
230.00,1938.98,1042.73,1347.88,2296.47,2774.52
230.50,1892.22,1048.80,1331.39,2225.72,2721.56
231.00,1767.46,1026.96,1326.16,2181.75,2668.50
231.50,1662.83,984.42,1312.98,2151.27,2623.15
232.00,1613.52,950.10,1266.73,2101.69,2592.51
232.50,1624.32,889.70,1206.34,2080.55,2588.60
233.00,1518.27,836.56,1138.78,2076.78,2589.37
233.50,1495.34,770.80,1081.68,2038.15,2572.95
234.00,1478.47,702.03,1028.22,2013.87,2580.50
234.50,1447.15,663.76,972.63,1984.09,2625.94
235.00,1398.80,590.93,894.51,2005.38,2678.79
235.50,1352.41,540.80,819.25,1999.55,2709.71
236.00,1300.84,464.01,772.88,1991.46,2743.92
236.50,1248.87,388.83,720.18,1963.35,2721.26
237.00,1210.03,339.54,661.96,1935.07,2650.36
237.50,1205.65,297.95,615.23,1868.19,2582.57
238.00,1204.76,277.29,558.51,1779.31,2514.92
238.50,1167.29,238.13,518.13,1746.18,2463.38
239.00,1110.06,204.06,469.19,1695.70,2446.86
239.50,1033.59,175.94,422.40,1619.18,2349.34
240.00,532.66,143.29,390.74,1517.23,2229.60
240.50,528.96,130.29,356.97,1411.06,2068.50
241.00,532.54,128.13,331.63,1299.24,1903.28
241.50,519.87,127.69,306.09,1193.07,1774.74
242.00,491.72,101.22,288.69,1096.64,1644.34
242.50,424.20,69.49,267.76,1005.54,1494.31
243.00,388.88,61.58,250.54,936.49,1441.68
243.50,400.12,76.16,249.15,887.76,1350.76
244.00,424.25,85.55,243.88,847.19,1277.57
244.50,417.99,91.79,246.47,787.36,1187.84
245.00,420.96,68.52,245.41,773.11,1152.25
245.50,414.97,38.51,233.07,789.56,1146.75
246.00,429.51,9.85,227.00,812.61,1136.35
246.50,451.45,1.08,224.20,856.87,1144.05
247.00,490.73,-17.84,231.32,900.57,1193.00
247.50,550.55,-4.25,259.30,956.17,1295.43
248.00,615.49,-21.24,286.46,1033.81,1409.61
248.50,668.76,-34.00,306.47,1102.66,1491.73
249.00,691.14,-32.59,326.08,1167.76,1592.90
249.50,738.91,-22.34,345.68,1215.13,1635.85
250.00,772.38,2.59,365.21,1248.69,1668.20
250.50,769.71,20.61,397.28,1283.43,1693.62
251.00,825.97,37.70,419.58,1329.46,1730.10
251.50,856.75,30.89,443.40,1378.51,1754.50
252.00,878.74,41.20,461.75,1420.36,1790.00
252.50,871.56,64.37,466.74,1429.52,1839.21
253.00,856.32,83.05,461.01,1428.29,1824.79
253.50,865.39,74.21,457.74,1402.08,1823.61
254.00,868.96,71.52,455.64,1381.52,1763.62
254.50,856.25,44.35,433.03,1327.19,1715.23
255.00,849.85,22.56,420.21,1300.54,1680.77
255.50,844.34,8.43,397.56,1269.26,1657.02
256.00,810.90,-19.43,365.55,1233.76,1619.93
256.50,778.24,-41.66,347.34,1178.35,1550.92
257.00,727.60,-48.48,315.69,1115.07,1466.66
257.50,677.85,-40.65,274.55,1040.70,1386.85
258.00,637.31,-54.76,245.43,977.51,1294.66
258.50,610.69,-57.83,217.16,909.75,1221.11
259.00,580.34,-75.04,203.91,858.39,1159.68
259.50,562.04,-85.73,188.94,821.53,1119.81
260.00,535.64,-98.87,174.24,788.71,1071.69
260.50,495.65,-76.99,177.12,748.78,1006.07
261.00,461.03,-61.09,166.75,711.72,1010.42
261.50,409.91,-76.13,152.07,689.95,1011.73
262.00,373.08,-84.49,139.01,670.30,1003.75
262.50,352.02,-89.77,124.09,656.64,1008.22
263.00,344.77,-83.05,122.84,652.95,1015.91
263.50,349.70,-70.32,130.59,655.04,1029.96
